Year,Category,Line Item,Value,Unit
2024,Operating Performance,Sales,"193,206",PKR in M
2024,Operating Performance,Gross Profit,"69,524",PKR in M
2024,Operating Performance,Operating Profit,"29,549",PKR in M
2024,Operating Performance,PBT,"25,504",PKR in M
2024,Operating Performance,PAT,"14,808",PKR in M
2024,Balance Sheet,Net Assets,"18,583",PKR in M
2024,Balance Sheet,Reserves,"18,130",PKR in M
2024,Balance Sheet,Net Working Capital ,"6,208",PKR in M
2024,Balance Sheet,Long-Term Liabilities,"11,015",PKR in M
2024,Investor Information,GP ratio,36,%age
2024,Investor Information,OP ratio,15.3,%age
2024,Investor Information,PBT ratio,13.2,%age
2024,Investor Information,PAT ratio,7.7,%age
2024,Investor Information,Inventory turnover ratio,4.1,times
2024,Investor Information,Total Asset turnover ratio,2.1,times
2024,Investor Information,Price Earning ratio,22.8,times
2024,Investor Information,Return on capital employed,132,%age
2024,Investor Information,Market value per share,7450,PKR
2024,Investor Information,Debt percantage,22,%age
2024,Investor Information,Equity percentage,78,%age
2024,Investor Information,Current ratio,0.8,times
2024,Investor Information,Interest cover ratio,10.8,times
2023,Operating Performance,Sales,"200,605",PKR in M
2023,Operating Performance,Gross Profit,"70,760",PKR in M
2023,Operating Performance,Operating Profit,"34,553",PKR in M
2023,Operating Performance,PBT,"29,045",PKR in M
2023,Operating Performance,PAT,"16,493",PKR in M
2023,Balance Sheet,Net Assets,"10,588",PKR in M
2023,Balance Sheet,Reserves,"10,135",PKR in M
2023,Balance Sheet,Net Working Capital ,"10,714",PKR in M
2023,Balance Sheet,Long-Term Liabilities,"12,758",PKR in M
2023,Investor Information,GP ratio,35.3,%age
2023,Investor Information,OP ratio,17.2,%age
2023,Investor Information,PBT ratio,14.5,%age
2023,Investor Information,PAT ratio,8.2,%age
2023,Investor Information,Inventory turnover ratio,4.3,times
2023,Investor Information,Total Asset turnover ratio,2.2,times
2023,Investor Information,Price Earning ratio,22.6,times
2023,Investor Information,Return on capital employed,153,%age
2023,Investor Information,Market value per share,8203,PKR
2023,Investor Information,Debt percantage,61,%age
2023,Investor Information,Equity percentage,39,%age
2023,Investor Information,Current ratio,0.9,times
2023,Investor Information,Interest cover ratio,12.1,times
2022,Operating Performance,Sales,"162,516",PKR in M
2022,Operating Performance,Gross Profit,"49,630",PKR in M
2022,Operating Performance,Operating Profit,"26,779",PKR in M
2022,Operating Performance,PBT,"22,792",PKR in M
2022,Operating Performance,PAT,"15,050",PKR in M
2022,Balance Sheet,Net Assets,"5,770",PKR in M
2022,Balance Sheet,Reserves,"5,317",PKR in M
2022,Balance Sheet,Net Working Capital ,"6,082",PKR in M
2022,Balance Sheet,Long-Term Liabilities,"20,356",PKR in M
2022,Investor Information,GP ratio,30.5,%age
2022,Investor Information,OP ratio,16.5,%age
2022,Investor Information,PBT ratio,14,%age
2022,Investor Information,PAT ratio,9.3,%age
2022,Investor Information,Inventory turnover ratio,4.9,times
2022,Investor Information,Total Asset turnover ratio,2.2,times
2022,Investor Information,Price Earning ratio,17.7,times
2022,Investor Information,Return on capital employed,125,%age
2022,Investor Information,Market value per share,"5,870",PKR
2022,Investor Information,Debt percantage,77,%age
2022,Investor Information,Equity percentage,23,%age
2022,Investor Information,Current ratio,0.8,times
2022,Investor Information,Interest cover ratio,10.8,times
2021,Operating Performance,Sales,"133,295",PKR in M
2021,Operating Performance,Gross Profit,"40,492",PKR in M
2021,Operating Performance,Operating Profit,"21,578",PKR in M
2021,Operating Performance,PBT,"17,954",PKR in M
2021,Operating Performance,PAT,"12,768",PKR in M
2021,Balance Sheet,Net Assets,"5,403",PKR in M
2021,Balance Sheet,Reserves,"4,950",PKR in M
2021,Balance Sheet,Net Working Capital ,"9,193",PKR in M
2021,Balance Sheet,Long-Term Liabilities,"16,864",PKR in M
2021,Investor Information,GP ratio,30.4,%age
2021,Investor Information,OP ratio,16.2,%age
2021,Investor Information,PBT ratio,13.5,%age
2021,Investor Information,PAT ratio,9.6,%age
2021,Investor Information,Inventory turnover ratio,5.3,times
2021,Investor Information,Total Asset turnover ratio,2.1,times
2021,Investor Information,Price Earning ratio,20.3,times
2021,Investor Information,Return on capital employed,101,%age
2021,Investor Information,Market value per share,"5,725",PKR
2021,Investor Information,Debt percantage,81,%age
2021,Investor Information,Equity percentage,19,%age
2021,Investor Information,Current ratio,0.8,times
2021,Investor Information,Interest cover ratio,10.8,times
2020,Operating Performance,Sales,"118,781",PKR in M
2020,Operating Performance,Gross Profit,"34,765",PKR in M
2020,Operating Performance,Operating Profit,"16,061",PKR in M
2020,Operating Performance,PBT,"12,591",PKR in M
2020,Operating Performance,PAT,"8,885",PKR in M
2020,Balance Sheet,Net Assets,"4,190",PKR in M
